template_path,template_x,template_y,template_w,template_h,query_path,query_x,query_y,query_w,query_h,BC,DEF,FM,IPR,IV,LR,MB,OCC,OPR,OV,SV
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Basketball/img/0103.jpg,118,212,34,81,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Basketball/img/0128.jpg,194,180,34,81,1,1,0,0,1,0,0,1,1,0,0
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Basketball/img/0436.jpg,185,235,34,81,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Basketball/img/0461.jpg,238,240,34,81,1,1,0,0,1,0,0,1,1,0,0
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Basketball/img/0271.jpg,194,196,34,81,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Basketball/img/0296.jpg,193,200,34,81,1,1,0,0,1,0,0,1,1,0,0
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Biker/img/0107.jpg,398,55,26,24,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Biker/img/0132.jpg,383,79,20,20,0,0,1,0,0,1,1,1,1,1,1
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Biker/img/0072.jpg,319,-3,32,35,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Biker/img/0097.jpg,409,51,26,24,0,0,1,0,0,1,1,1,1,1,1
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Biker/img/0061.jpg,220,13,29,48,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Biker/img/0086.jpg,387,71,26,24,0,0,1,0,0,1,1,1,1,1,1
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird1/img/0021.jpg,394,141,31,37,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird1/img/0046.jpg,373,148,31,37,0,1,1,0,0,0,0,0,0,1,0
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird1/img/0103.jpg,367,185,31,37,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird1/img/0128.jpg,349,179,31,37,0,1,1,0,0,0,0,0,0,1,0
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird1/img/0122.jpg,352,181,31,37,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird1/img/0147.jpg,339,163,31,37,0,1,1,0,0,0,0,0,0,1,0
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird2/img/0024.jpg,182,234,69,73,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird2/img/0049.jpg,283,241,69,73,0,1,1,1,0,0,0,1,1,0,0
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird2/img/0003.jpg,90,219,69,73,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird2/img/0028.jpg,202,241,69,73,0,1,1,1,0,0,0,1,1,0,0
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird2/img/0022.jpg,175,234,69,73,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/Bird2/img/0047.jpg,268,241,69,73,0,1,1,1,0,0,0,1,1,0,0
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/BlurBody/img/0309.jpg,110,138,114,304,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/BlurBody/img/0334.jpg,326,87,100,285,0,1,1,1,0,0,1,0,0,0,1
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/BlurBody/img/0258.jpg,256,131,104,279,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/BlurBody/img/0283.jpg,182,80,102,291,0,1,1,1,0,0,1,0,0,0,1
/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/BlurBody/img/0294.jpg,241,107,105,297,/mnt/hdd1/users/aktgpt/datasets/template_matching/BBS/BlurBody/img/0319.jpg,175,103,97,284,0,1,1,1,0,0,1,0,0,0,1
